wav_filename,wav_filesize,transcript
wavs/422-122949-0020.wav,749198,on this account the people of one nation understand one another better than those belonging to different nations even when they use the same language or rather when people have lived long together under similar conditions of climate soil danger requirement toil there originates therefrom an entity that understands itself namely a nation
wavs/6345-93306-0003.wav,79758,and again he listened with a quiet pleasure
wavs/5694-64025-0002.wav,350798,i do not pretend to tell of what command distinguished itself of heroes of blood and wounds of shrieks and groans of brilliant charges of cannon captured et cetera
wavs/2086-149220-0042.wav,90958,but put it on the table in the corner of the passage
wavs/3576-138058-0004.wav,529998,dulcinea is perishing thou art living on regardless i am dying of hope deferred therefore untruss thyself with a good will for mine it is here in this retired spot to give thee at least two thousand lashes
wavs/1272-141231-0009.wav,275918,the contestants in the twenties needed undisturbed rest therefore nights in dedoratories were as quiet as death
wavs/2086-149220-0006.wav,331278,this was a fountain set round with the rim of old mossy stones and paved in its bed with what appeared to be a sort of moderate work of variously colored pebbles
wavs/2277-149896-0016.wav,89198,fortunately there was nothing from his wife either
wavs/6319-275224-0012.wav,131758,meanwhile how fared it with the flowers
wavs/1462-170138-0004.wav,80398,myself i always knew she had it in her
wavs/1272-128104-0009.wav,585358,he laments most bitterly the divorce that has been made between decorative art and what we usually call pictures makes the customary appeal to the last judgment and reminds us that in the great days of art michael angelo was the furnishing upholsterer
wavs/3081-166546-0077.wav,333678,miss clarke started and her sweet face showed a moments perplexity did i she queried musingly
wavs/5694-64029-0024.wav,344558,i saw and felt that he was not fighting for glory but that he was fighting for his country because he loved that country and he was willing to give his life for his country and the success of our cause
wavs/5694-64029-0019.wav,109358,we were right upon the yankee line on the wookersoneturnpite
wavs/3536-8226-0013.wav,91918,its that as makes em that i wont say what
wavs/6295-64301-0017.wav,175598,letty too was overcome more than ever she had been by music
wavs/5694-64025-0015.wav,162158,should you desire to find out more about the battle i refer you to history
wavs/1993-147149-0012.wav,169038,her cries brought her husband down to try with his aching heart to comfort hers
wavs/2035-147961-0003.wav,86318,we lay still and did not talk
wavs/3536-23268-0019.wav,325358,missus horton too in the self approving reflection that she was not in a quarrel or altercation of any kind felt herself at this moment remarkably peaceful and charitable
wavs/5895-34622-0023.wav,187118,ursus was in everything in the piece in the company in the kitchen in the orchestra
wavs/5536-43363-0018.wav,252558,many of the indians believed that one may be born more than once and there were some who claimed to have full knowledge of a former incarnation
wavs/2412-153947-0003.wav,304558,then i had much pleasure in reading it but was indeed surprised at the many little points of similarity between the two books in spite of their entire independence to one another
wavs/2803-154328-0003.wav,409678,sleep which keeps all sorrow in abeyance soon weighed down their eyelids they slept in each others arms overcome by exhaustion and prolonged watching
wavs/1988-24833-0006.wav,63438,pop it the course
wavs/5895-34615-0003.wav,211438,according to all appearance industrious manipulators of children had worked upon his face
wavs/6295-64301-0019.wav,315758,it cried aloud that eternity was very long and like a great palace without a quiet room
wavs/2277-149896-0027.wav,115118,hurstwood almost exclaimed out loud at the insistency of this thing
wavs/6319-57405-0007.wav,112238,is there anything that you wish he asked
wavs/2086-149220-0010.wav,446478,they kept themselves alive unquestionably and laid now and then an egg and hatched a chicken not for any pleasure of their own but that the world might not absolutely lose what had once been so admirable a breed of fowls
wavs/2412-153948-0000.wav,373198,if the reader will excuse me i will say nothing of my antecedents nor of the circumstances which led me to leave my native country the narrative would be tedious to him and painful to myself
wavs/84-121550-0006.wav,282638,the good supreme sole in itself delighting created man good and this goodly place gave him as hansel of eternal peace
wavs/6241-61946-0020.wav,382638,at length the sturdy little pony spreading out his legs in a stiff and ludicrous attitude got from under the professors legs and left him standing with both feet on a separate stone like the colossus of roads
wavs/5694-64038-0021.wav,106638,you see jim knowed the law
wavs/2078-142845-0050.wav,247278,mode put the milk and butter into a saucepan and keep shaking it round until the latter is melted
wavs/251-118436-0009.wav,286638,the slant of the moon presaged evil for the king of vema the stars are in turmoil the serpent in the house of the elephant
wavs/1272-135031-0022.wav,86318,true agreed kaliko
wavs/2803-154320-0002.wav,113038,their friends did their best to amuse him
wavs/3536-8226-0015.wav,356878,trvalion had followed his letter quicker than he had intended when it was written and was now with his prime minister before his prime minister had been able to take any action on the last instruction received
wavs/5895-34615-0013.wav,151918,the whole of existence resembles a letter modified in the postscript
wavs/652-129742-0014.wav,126318,garnish dish that dressing is made in with a little garlic
wavs/2412-153954-0018.wav,387438,they felt my pulse they looked at my tongue they listened at my chest they felt all my muscles and at the end of each operation they looked at the chief and nodded and said something in a tone quite pleasant as though i were all right
wavs/5694-64025-0016.wav,343118,about the time he pulled trigger a stray ball from some direction struck him in the side and he fell off dead and his horse becoming frightened galloped off dragging him through the confederate lines
wavs/1919-142785-0059.wav,279918,when quite crisp dip one side of the sippet into the beaten white of an egg mixed with a little flour and place it on the edge of the dish
wavs/7976-110523-0006.wav,250158,but in reality hansel was not looking at a cat but every time he stopped he dropped a pebble out of his pocket upon the path
wavs/1993-147964-0001.wav,152078,anyway he would never allow one of his horses to be put to such a strain
wavs/1919-142785-0035.wav,115598,a sufficient to serve with five or six mackerel
wavs/5694-64025-0017.wav,96558,on monday morning i too captured me a mule
wavs/1462-170138-0015.wav,108238,i dare say its quite true that theres never been any one else
wavs/8297-275154-0020.wav,143120,he paused and put his hand to his fevered head
wavs/7850-281318-0004.wav,267118,and the poor silly things ruffled up their feathers and looked miserable as only a little bird can look when it is unhappy
wavs/8842-302201-0012.wav,153838,in the fourth repeating to whom i purpose speaking i tell the reason why i speak to them
wavs/2078-142845-0031.wav,535758,cut as many nice even slices as may be required rather more than one quarter inch in thickness and toast them before a very bright fire without allowing the bread to blacken which spoils the appearance and flavour of all toast
wavs/2902-9006-0009.wav,383118,but the health of a church depends not merely on the creed which it professes not even on the wisdom and holiness of a few great ecclesiastics but on the faith and virtue of its individual members
wavs/777-126732-0008.wav,141678,his ennociation would have been almost totally unintelligible to a stranger
wavs/1272-141231-0023.wav,277198,the strength of enables someone in a trance to hold his body stiff and unsupported except at two points the head and heels
wavs/2277-149896-0008.wav,222158,for some reason he felt as if something might come that way and was relieved when all the envelopes had been scanned and nothing suspicious noticed
wavs/2902-9008-0005.wav,166798,if they have cast off the vulgar herd they have not cast off hypatia
wavs/2277-149874-0014.wav,275278,she asked many for ink and paper which were upon the mantel in the dining room and when the latter had gone to bed at ten got out drew his card and wrote him
wavs/174-50561-0019.wav,136398,you see the treatment is a trifle fanciful
wavs/3170-137482-0036.wav,218318,if the question was so obscure that i could not make out the sense of it it was natural that i should not understand the answer
wavs/6295-64301-0024.wav,206958,he that loveth not his brother whom he hath seen passer love god whom he hath not seen
wavs/3081-166546-0060.wav,87758,and she speaks of no weapon
wavs/2803-154320-0008.wav,114958,we could not even fly fly john
wavs/3170-137482-0024.wav,216398,thinking i had the right to watch the sick man i settled myself near his bed to give him every care he required
wavs/84-121550-0021.wav,278798,and one of them as if by heaven commissioned singing veni sponsa delibano shouted three times and all the others after
wavs/6313-66125-0006.wav,96238,no i am the lighter of the two urged tad
wavs/174-168635-0003.wav,421838,he suffered all the pangs of a mother and he knew not what it meant for that great and singular movement of a heart which begins to love is a very obscure and a very sweet thing
wavs/3081-166546-0054.wav,110320,margsowrbe and kalshinerburg
wavs/251-137823-0024.wav,78798,tom nodded unhappily
wavs/2277-149897-0021.wav,149998,he thought a busy saturday ushered out the sabbath in and nothing done
wavs/6313-66129-0012.wav,98958,this announceshatgiltthef os with excitement
wavs/2428-83705-0021.wav,124078,i shall make papa give me five hundred pounds at least
wavs/6319-64726-0006.wav,120398,he knew that she would not awake for a hundred years
wavs/5694-64029-0025.wav,78958,i thought it had been torn from my shoulder
wavs/1993-147149-0003.wav,457678,the board not so formidable as she had imagined had inquired into her case and instead of sending her to stoke quitle her husband sbuckamshirperish as she had dreaded had agreed to pay her rent
wavs/5338-284437-0029.wav,242638,yes it was wet an sticky all right agreed the sailor but the big frog helped us an we got through all right
wavs/6345-93302-0008.wav,129038,he had been late he had offered no excuse no explanation
wavs/652-130726-0007.wav,155278,the poodle dog has a hotel etagement where one may it rooms or full apartments
wavs/1272-141231-0029.wav,220238,he said it was the last burst of energy he knew how closely both were to exhaustion
wavs/2412-153947-0010.wav,550320,i see from my second preface that i took the book to missieur'schadenandhall may first eighteen seventy one and on their rejection of it under the advice of one who has attained the highest rank among living writers i let it sleep till i took it to mister trubner early in eighteen seventy two
wavs/777-126732-0017.wav,87438,very characteristic perfectly typical
wavs/1919-142785-0003.wav,173038,the long pepper is less aromatic than the black but its oil is more pungent
wavs/5536-43359-0003.wav,392558,this wild mother has not only the experience of her mother and grandmother and the accepted rules of her people for a guide but she humbly seeks to learn a lesson from ants bees spiders beavers and badgers
wavs/1988-148538-0014.wav,339758,when an aristocracy carries on the public affairs its national pride naturally assumes this reserved indifferent and haughty form which is imitated by all the other classes of the nation
wavs/1919-142785-0018.wav,225998,it is hardier than the orange and as one of the citron tribe was brought into europe by the arabians
wavs/1462-170142-0004.wav,232238,a coal fire was crackling in the grate and the lamps were lit for it was already beginning to grow dark outside
wavs/2086-149220-0007.wav,167758,it now contained only shan declare his two wives and a solitary chicken
wavs/777-126732-0002.wav,161998,at best that can only interpret the mind of the prophet and can have no objective value
wavs/6345-93302-0011.wav,68238,her hands and feet were aching with cold
wavs/7850-73752-0003.wav,926318,this violent and triumphant revolution in his prospects and his fortunes was hardly yet completely comprehended by our friend ferdinand armine and when he had left a note for the generous mirabel whose slumbers he would not disturb at this early hour even with good news he strolled along up charles street and to the park in one of those wild and joyous reveries in which we brood over coming bliss and create a thousand glorious consequences
wavs/1993-147964-0007.wav,219758,he used to help my father cut christmas trees for me in virginia and he had not forgotten how much i liked them
wavs/251-118436-0015.wav,172238,they seek to snap the silver cord that binds me to my dying body
wavs/8297-275155-0019.wav,198478,worse stories have been printed i do assure you worse stories have been printed
wavs/5895-34615-0018.wav,72878,when plane had yellow hair
wavs/8297-275154-0027.wav,280078,he mentioned the name of one of the old servants at mount morven who had attached himself to randal after the breakup of family
wavs/6345-93306-0010.wav,177198,he had no time to think but he was aware that this was the most exciting adventure that had ever happened to him
wavs/251-137823-0019.wav,393358,the telephone line was soon repaired and a steady stream of rescue vehicles began arriving from harkness fire trucks three ambulances and private cars driven by volunteers
wavs/1993-147149-0023.wav,342478,her thoughts ran on jems manner and words not but what she had known the tale they told for many a day but still she wished he had not put it so plainly
wavs/6313-76958-0021.wav,381678,keep a girl at and if youre lucky old run plumb into them was the jeering answer as the sleepy cowmen spurred their ponies on toward camp muttering their disapproval of taking along a bunch of boys on a cattle drive
wavs/8842-302201-0008.wav,191118,so to the road thou shalt be reconciled and find the lady and with the lady love
wavs/7976-110523-0004.wav,232398,and as soon as their parents had gone to sleep he got up put on his coat and unbarring the back door went out
wavs/6295-244435-0016.wav,368398,we need kentucky and i understand that a very little more may bring the state to us go with your father i understand that you have been a brave young soldier here and may you do as well up there
wavs/2277-149896-0025.wav,108878,he arose from his chair and went and looked out into the street
wavs/2428-83699-0027.wav,158958,there be the door in front of you you go up three steps if you can find em
wavs/174-168635-0014.wav,154480,cosette was no longer in rites she was in mourning
wavs/2277-149896-0007.wav,172078,he would see how things turned out to morrow and then he would talk to her they were going to meet as usual
wavs/1462-170142-0014.wav,81678,always but its worse now
wavs/2428-83705-0035.wav,187758,and what inquired missus macpherson has mary ann given you her love
wavs/2277-149874-0000.wav,496238,many flat as the one floor resident apartments were then being called was in a part of west van buren street inhabited by families of labourers and clerks men who had come and were still coming with the rush of population pouring in at the rate of fifty thousand a year
wavs/251-136532-0004.wav,793678,they had four or five species of what might loosely be called birds and something that could easily be classed as a reptile and a carnivorous mammal the size of a cat with birdlike claws and a herbehore almost identical with the piglike thing in the big darfhulva mural and another like a gazelle with a single horn in the middle of its forehead
wavs/6241-66616-0007.wav,163758,the other was a girl three years younger and newsome insisted that she be called minnetaki
wavs/1919-142785-0024.wav,91598,illustration ginger
wavs/2078-142845-0026.wav,79278,to make dry toast
wavs/7976-110124-0001.wav,235280,every year at a certain day of a certain month he went away to a distant city to collect money on an account
wavs/6319-57405-0010.wav,106958,what did he mean asked para
wavs/3170-137482-0016.wav,148078,two days afterwards our naternalorgi began to be talked of
wavs/6313-66125-0027.wav,463118,nor was his sense of security increased when in ship in his position the torch fell from his grasp the fagots scattering as they slipped down between the limbs of the tree and whirling in ever dimishing circles until finally he heard them clatter on the rocks below
wavs/6241-61943-0026.wav,291438,i saw but few inhabitants during my excursion but i met a crowd on the beach drying salting and loading codfish the principal article of exportation
wavs/6295-244435-0018.wav,170478,he intended to leave early in the morning but first he sought his friends and told them good bye
wavs/3536-23268-0003.wav,255918,night after night his sleep had been disturbed by fears for her when abroad morning after morning it had been broken by the clamour of her return
wavs/3752-4944-0054.wav,101838,ill show you whos master here my good sir
wavs/652-130737-0007.wav,129678,hakhimer a light pleasing and wholesome wine
wavs/3081-166546-0052.wav,109198,one or two of the musicians from the end of the hall
wavs/652-130726-0024.wav,343598,to the pickle add two or onions cut in quarters two fresh carrots and about one ounce of mixed whole allspice black peppers cloves and bay leaves
wavs/5338-284437-0023.wav,89518,no our way is best
wavs/2277-149897-0002.wav,209358,no letter had come no word of any kind and yet here it was late in the evening and she had agreed to meet him that morning
wavs/2412-153947-0015.wav,353038,i am still fairly well satisfied with those parts of era that were repeatedly rewritten but from those that had only a single writing i would gladly cut out some forty or fifty pages if i could
wavs/3853-163249-0044.wav,112238,not one david thats true love christie
